김성현 (Sung-Hyun Kim),10636,올시즌,2024,,36,2B,0.12,0.37,19,66,65,56,10,13,2,0,0,15,5,1,0,5,4,0,8,2,1,0,0.232,0.338,0.268,0.606,-0.028,77.2,0.49
김헌곤 (Heon-Gon Kim),10640,올시즌,2024,삼성,35,RF,0.68,-0.30,50,121,120,111,18,35,6,0,4,53,16,1,1,8,1,0,24,1,1,0,0.315,0.367,0.477,0.844,0.021,113.5,0.38
김재환 (Jae-Hwan Kim),10643,올시즌,2024,두산,35,DH,1.60,-0.90,62,254,251,213,33,55,11,0,14,108,45,0,0,31,4,3,77,6,0,6,0.258,0.354,0.507,0.861,0.024,115.9,0.69
고종욱 (Jong-Wook Ko),10659,올시즌,2024,KIA,34,LF,0.20,-0.04,22,27,27,24,3,7,2,0,1,12,4,0,0,3,0,0,4,2,0,0,0.292,0.370,0.500,0.870,0.025,117.1,0.16
허도환 (Do-Hwan Heo),10684,올시즌,2024,LG,39,C,-0.09,-0.26,31,69,64,52,8,10,2,0,0,12,8,0,0,5,6,0,18,2,5,1,0.192,0.328,0.231,0.559,-0.060,56.1,-0.35
김민식 (Min-Sik Kim),10707,올시즌,2024,,34,C,0.23,0.11,12,32,32,25,1,6,3,0,0,9,3,0,0,7,0,0,7,1,0,0,0.240,0.406,0.360,0.766,0.034,124.0,0.34
유강남 (Kang-Nam Yoo),10753,올시즌,2024,롯데,31,C,-0.49,0.40,46,140,138,125,7,24,3,0,5,42,17,0,0,7,6,0,25,2,2,0,0.192,0.268,0.336,0.604,-0.064,50.4,-0.09
박승욱 (Seung-Wook Park),10804,올시즌,2024,롯데,31,SS,0.10,-0.55,58,154,154,140,19,37,6,0,3,52,14,1,4,10,4,0,36,2,0,0,0.264,0.331,0.371,0.702,-0.019,83.8,-0.45
최항 (Hang Choi),10810,올시즌,2024,롯데,29,2B,-0.49,0.17,35,83,83,75,4,16,2,0,0,18,6,0,0,8,0,0,19,2,0,0,0.213,0.289,0.240,0.529,-0.091,28.8,-0.32
한유섬 (Yu-Seom Han),10815,올시즌,2024,SSG,34,RF,0.51,-0.55,55,215,213,184,30,41,9,0,12,86,40,0,1,23,5,2,73,1,0,3,0.223,0.321,0.467,0.788,-0.019,83.5,-0.05
